country,title,text,summary,url,published,source_url,word_count,char_count
Bolivia,Oficial: el feriado de la efeméride de Cochabamba es el lunes 15 de septiembre,"El Ministerio de Trabajo, Empleo y Previsión Social confirmó este viernes que el feriado del 14 de septiembre, por el 215 aniversario de la Revolución de Cochabamba y efeméride de este departamento, será trasladado al lunes 15 de septiembre.

“En conmemoración al CCXV Aniversario del Grito Libertario de Cochabamba, este 14 de septiembre, el Ministerio de Trabajo, Empleo y Previsión Social comunica a la población en general que el día lunes 15 de septiembre de la presente gestión se constituye en feriado departamental con suspensión de actividades públicas y privadas en todo el departamento de Cochabamba”, enuncia el comunicado publicado pro ese Ministario en su página web.

Este 14 de septiembre Cochabamba conmemorará el 215 aniversario de su Gesta Libertaria, pero este año cae en domingo, por lo que la norma correspondiente establece que en estos casos el feriado se trasladada día siguiente, lunes.","<div class=""field field-name-body field-type-text-with-summary field-label-hidden view-mode-teaser""><div class=""field-items""><div class=""field-item even""><p class=""rtejustify"">
	El Ministerio de Trabajo, Empleo y Previsión Social confirmó este viernes que el feriado del 14 de septiembre, por el 215 aniversario de la Revolución de Cochabamba y efeméride de este departamento, será trasladado al lunes 15 de septiembre.</p></div></div></div><div class=""sharethis-buttons""><div class=""sharethis-wrapper""><span class=""st_facebook&amp;amp;quot_button""></span>
<span class=""st_twitter&amp;amp;quot_button""></span>
<span class=""st_linkedin&amp;amp;quot_button""></span>
<span class=""st_email&amp;amp;quot_button""></span>
<span class=""st_sharethis&amp;amp;quot_button""></span>
<span class=""st_pinterest&amp;amp;quot_button""></span>
<span class=""st_plusone_button""></span>
<span class=""st_fblike_button""></span>
</div></div>",https://www.lostiempos.com/actualidad/cochabamba/20250912/oficial-feriado-efemeride-cochabamba-es-lunes-15-septiembre,"Fri, 12 Sep 2025 22:48:02 +0000",https://www.lostiempos.com/rss/actualidad,144,912
Bolivia,CIDH y ONU DDHH manifiestan preocupación por nulidad de juicios en casos Senkata y Sacaba,"La Comisión Interamericana de Derechos Humanos (CIDH) y la Oficina de ONU Derechos Humanos en América del Sur expresaron su “preocupación” por la anulación de los procesos contra policías y militares investigados por las masacres de Senkata y Sacaba, ocurridas en 2019.

Ambas entidades advirtieron que las resoluciones de los tribunales bolivianos podrían obstaculizar la búsqueda de justicia para las víctimas de graves violaciones a los derechos humanos.

El pronunciamiento se produce tras la decisión de la Sala Penal Tercera de La Paz, que el 9 de septiembre ratificó la Resolución Nº 211/2025, confirmando la nulidad de los procesos en el caso de Senkata. A fines de agosto, jueces de El Alto y Sacaba habían declarado la anulación de los expedientes por supuesta incompetencia, lo que generó preocupación en entidades como la Defensoría del Pueblo de Bolivia ante el riesgo de impunidad y la vulneración del derecho de las víctimas a un acceso rápido a la justicia.

“El 25 y el 29 de agosto ","<div class=""field field-name-body field-type-text-with-summary field-label-hidden view-mode-teaser""><div class=""field-items""><div class=""field-item even""><p class=""rtejustify"">
	La Comisión Interamericana de Derechos Humanos (CIDH) y la Oficina de ONU Derechos Humanos en América del Sur expresaron su “preocupación” por la anulación de los procesos contra policías y militares investigados por las masacres de Senkata y Sacaba, ocurridas en 2019.</p>
<p class=""rtejustify"">
	Ambas entidades advirtieron que las resoluciones de los tribunales bolivianos podrían obstaculizar la búsqueda de justicia para las víctimas de graves violaciones a los derechos humanos.</p></div></div></div><div class=""sharethis-buttons""><div class=""sharethis-wrapper""><span class=""st_facebook&amp;amp;quot_button""></span>
<span class=""st_twitter&amp;amp;quot_button""></span>
<span class=""st_linkedin&amp;amp;quot_button""></span>
<span class=""st_email&amp;amp;quot_button""></span>
<span class=""st_sharethis&amp;amp;quot_button""></span>
<span class=""st_pinterest&amp;amp;quot_button""></span>
<span class=""st_plusone_button""></span>
<span class=""st_fblike_button""></span>
</div></div>",https://www.lostiempos.com/actualidad/pais/20250912/cidh-onu-ddhh-manifiestan-preocupacion-nulidad-juicios-casos-senkata-sacaba,"Fri, 12 Sep 2025 20:15:19 +0000",https://www.lostiempos.com/rss/actualidad,450,2898
Bolivia,Operativo: Secuestran 110 paquetes de droga en Santa Cruz; hay cinco aprehendidos,"Dentro de un inmueble, ubicado en la zona Santa Rosita de la ciudad de Santa Cruz de la Sierra, efectivos de la Fuerza Especial de Lucha Contra el Narcotráfico (FELCN) secuestraron 110 paquetes de droga y cinco personas fueron aprehendidas.

El hallazgo se concretó durante un patrullaje y labores de inteligencia que efectuaron los efectivos antidrogas en ese sector, señala un reporte de la FELCN.

En la requisa al inmueble, se hallaron varias bolsas de yute y una caja de cartón con 110 paquetes que contenían una sustancia amarillenta. La prueba de campo dio como resultado positivo para pasta base de cocaína.

Las personas aprehendidas, cuatro varones y una mujer, fueron puestos a disposición de la Fiscalía con fines investigativos.","<p>El hallazgo se concretó durante un patrullaje y labores de inteligencia que efectuaron los efectivos antidrogas en ese sector, señala un reporte de la FELCN.&nbsp;</p>",https://www.opinion.com.bo/articulo/policial/secuestran-110-paquetes-droga-quedan-cinco-aprehendidos-operativo-santa-cruz/20250912203427979931.html,"Fri, 12 Sep 2025 20:34:27 -0400",https://www.opinion.com.bo/rss/,120,741
Bolivia,"Gobierno chileno asegura que dichos ""xenófobos"" de diputada ""no altera las relaciones con Bolivia""","La ministra vocera de Gobierno, Camila Vallejo, reiteró este viernes el rechazo del Ejecutivo a las declaraciones de la diputada de ese país, María Luisa Cordero, quien aseguró que los bolivianos ""tienen disminución del oxígeno cerebral"", lo que los hace ""tontorrones"".

Según reportes de medios locales, Vallejo indicó que ""estas son declaraciones particulares que condenamos tajantemente porque son xenófobas y no representan al conjunto de nuestro Estado y menos de nuestro gobierno. Y por cierto, que tampoco de nuestra sociedad"".

""Los pueblos son hermanos y no corresponde ese tratamiento xenófobo que, insisto, es una declaración particular que no es representativa ni del ánimo ni del espíritu de nuestra patria"", agregó.

En ese sentido, la Vocera del Gobierno chileno fue consultada respecto a la posibilidad de que las relaciones con Bolivia se vean perjudicadas, después de que el presidente boliviano, Luis Arce, manifestara que ""desde el Ministerio de Relaciones Exteriores del Estado P","<p>""Los pueblos son hermanos y no corresponde ese tratamiento xenófobo que, insisto, es una declaración particular que no es representativa ni del ánimo ni del espíritu de nuestra patria"", agregó.</p>",https://www.opinion.com.bo/articulo/pais/vocera-gobierno-chileno-asegura-que-dichos-xenofobos-diputada-altera-relaciones-bolivia/20250912200413979927.html,"Fri, 12 Sep 2025 20:04:13 -0400",https://www.opinion.com.bo/rss/,388,2575
Argentina,La icónica empresa de juguetes que se muda a Boston y traslada cientos de trabajadores: “Dolorosa realidad”,"La icónica empresa de juguetes Hasbro anunció que mudará su sede central en 2026: pasará de Pawtucket, en Rhode Island, a Boston, en Massachusetts. El traslado marcará el final de más de 100 años de presencia definida y supone el traslado de al menos 700 puestos de trabajo al distrito Seaport.

¿Por qué Hasbro se muda de Rhode Island a Boston?

El director ejecutivo, Chris Cocks sostuvo en un comunicado publicado el lunes 8 de septiembre en la página de la empresa que Boston ofrece “una comunidad empresarial dinámica, sólidas alianzas académicas y un entorno cultural vibrante”, que se suman al liderazgo de su equipo en Seattle, Washington.

Rhode Island perderá la presencia corporativa de Hasbro Instagram Hasbro

Ambas ciudades son consideradas por la empresa como “dos de los principales centros de innovación y tecnología de Estados Unidos, que funcionan como imanes de talento y ayudarán a Hasbro a aprovechar todo el potencial de su portafolio y crecer en el juego físico y digital”.

P","Hasbro confirmó que mudará su sede a Boston en 2026, cerrando más de un siglo en Rhode Island y trasladando 700 empleos al distrito Seaport.",https://www.lanacion.com.ar/estados-unidos/massachusetts/la-iconica-empresa-de-juguetes-que-se-muda-a-boston-y-traslada-cientos-de-trabajadores-dolorosa-nid12092025/,"Sat, 13 Sep 2025 01:51:00 +0000",https://www.lanacion.com.ar/arc/outboundfeeds/rss/?outputType=xml,808,5054
Argentina,"Javier Milei, en vivo: las últimas medidas del Gobierno","En la reunión de los gobernadores de Provincias Unidas en Río Cuarto, el de Entre Ríos, Gustavo Valdés, se refirió a un posible encuentro con el presidente Javier Milei.

Dijo lo siguiente: “Nosotros, los gobernadores, no nos llamamos un ATN, no estamos conformando esto para recibir un aporte del Tesoro, no estamos para recibir una obra pública; estamos como una idea de país, un compromiso hacia adelante con los argentinos, y vamos a poner nuestros equipos técnicos en caso de que quieran dialogar, ver, mirar y poder resolver alguna problemática de la Argentina. Después, si coincidimos, seguramente tendremos un diálogo con el gobierno nacional para ver si es el camino correcto. Si quieren una foto, tienen la del 9 de julio en Tucumán, que esa es una foto buena, hay muchos gobernadores. Pero nosotros no vamos a posar para una foto simplemente con motivos electorales, queremos respuestas concretas y una Argentina diferente"".","El minuto a minuto de las decisiones del Presidente, las reacciones de la oposición y las declaraciones de los funcionarios",https://www.lanacion.com.ar/politica/javier-milei-en-vivo-las-ultimas-medidas-del-gobierno-nid12092025/,"Sat, 13 Sep 2025 01:47:08 +0000",https://www.lanacion.com.ar/arc/outboundfeeds/rss/?outputType=xml,152,935
Argentina,"Milei hablará en la ONU e intentará, una vez más, lograr una reunión bilateral con Trump","El Presidente Javier Milei hablará el 24 de septiembre en la próxima asamblea de Organización de las Naciones Unidas (ONU), donde primeros mandatarios del mundo discuten todos los años la agenda de atención global. Durante su estadía número doce en Estados Unidos, Javier Milei cenaría con el Secretario del Tesoro, Scott Bessent, y con la directora del FMI, Kristalina Geiorgieva, quien todavía no confirmó asistencia, en el marco de la Gala del Atlantic Council. Pero la apuesta del Gobierno es lograr saldar una gran deuda política: la reunión bilateral con el Presidente de Estados Unidos, Donald Trump. Con el cronómetro en rojo, la cancillería trabaja para concretar ese encuentro que ya cuenta varios intentos fallidos. Consultado por Página/12 el vocero presidencial, Manuel Adorni, confirmó que Milei y su comitiva participarán de dicha asamblea a fines de septiembre, pero no dio respuesta a la consulta sobre la búsqueda de una reunión entre Milei y Trump.

Al momento, los encuentros con ","| Argentina, duramente cuestionada por el Alto Comisionado para los Derechos Humanos",https://www.pagina12.com.ar/857532-milei-hablara-en-la-onu-e-intentara-una-vez-mas-lograr-una-r,"Sat, 13 Sep 2025 01:35:53 GMT",https://www.pagina12.com.ar/rss/portada,562,3496
Argentina,CFK y Fuerza Patria frente a los vetos de Milei,"Cristina Fernández de Kirchner recibió a candidatos porteños de Fuerza Patria, con los que analizó el impacto del veto de Javier Milei a la ley de financiamiento universitario.

La expresidenta, que cumple arresto domiciliario en su departamento de San José 1111, conversó con Mariano Recalde y Ana Arias, candidatos a senadores nacionales, y con los candidatos a diputados nacionales Itai Hagman y Lucía Cámpora.

Junto a ellos habló de la estrategia legislativa a seguir para rechazar el veto en el Congreso y se interiorizó sobre la movilización universitaria federal que se está organizando. Coincidieron en la necesidad de conseguir más bancas en el Congreso en las elecciones del 26 de octubre para poder frenar las políticas de ajuste de Milei.

Los candidatos tienen vínculo con el ámbito educativo. Recalde es docente universitario de la cátedra de Relaciones Colectivas del Trabajo en la Facultad de Derecho de la UBA y además es docente en la UNPAZ y la UNLAM. Arias es Trabajadora Social,","| ""Más bancas para frenar el ajuste""",https://www.pagina12.com.ar/857507-cristina-recibio-a-los-candidatos-portenos-de-fuerza-patria,"Sat, 13 Sep 2025 01:35:53 GMT",https://www.pagina12.com.ar/rss/portada,318,1982
Peru,River Plate vs. Estudiantes: horarios y canales para ver Liga Profesional Argentina,"Ver River vs. Estudiantes EN VIVO HOY : mira la transmisión del partido en el estadio Jorge Luis Hirschi por la fecha 8 del Torneo Clausura de la Liga Profesional Argentina. ¿A qué hora juegan? El juego se disputa hoy, sábado 13 de septiembre de 2025, a las 5:00 de la tarde (hora peruana), que son las 7:00 PM de Argentina, las 4:00 PM de México y las 12:00 AM de España. ¿Dónde ver? ESPN Premium transmite el partido en Argentina, ESPN y Disney+ en Sudamérica; Disney+ y Fanatiz en México. No recomendamos ver partidos por internet en páginas como Fútbol Libre TV y otras.

VIDEO RECOMENDADO Sigue todos los partidos de la Copa CONMEBOL Libertadores.",River vs. Estudiantes EN VIVO: ver transmisión del partido por la fecha 8 del Torneo Clausura de la Liga Profesional Argentina desde el estadio Jorge Luis Hirschi.,https://elcomercio.pe/deporte-total/argentina/river-vs-estudiantes-en-vivo-gratis-hoy-via-futbol-libre-tv-espn-premium-a-que-hora-juegan-canales-y-donde-ver-partido-por-liga-argentina-video-noticia/,"Sat, 13 Sep 2025 01:54:41 +0000",https://elcomercio.pe/arcio/rss/,116,652
Peru,"Temblor en Colombia hoy, vía el SGC: epicentro, hora y magnitud del viernes 12 de septiembre","Sismo en Colombia vía el Servicio Geológico

El SGC tiene un total de 339 estaciones sísmicas, ubicadas en todo el territorio colombiano y en zonas específicas como los volcanes activos. 206 estaciones sísmicas se ubican cubriendo todo el territorio correspondiente a la Red Sísmica Nacional y 133 estaciones sísmicas instaladas en los volcanes activos colombianos que se monitorean permanentemente en tres observatorios vulcanológicos y sismológicos.

Conoce aquí los sismos ocurridos en el territorio colombiano, reportados por el Servicio Geológico. Aquí te contamos cuáles fueron los últimos.",Temblor en Colombia EN VIVO: cuál fue el epicentro y magnitud del último sismo reportado HOY por el Servicio Geológico Colombiano (SGC).,https://elcomercio.pe/respuestas/colombia/temblor-en-colombia-hoy-ultimo-sismo-de-septiembre-en-vivo-cual-fue-la-magnitud-y-epicentro-segun-reporte-del-sgc-servicio-geologico-colombiano-santander-co-lbposting-noticia/,"Sat, 13 Sep 2025 01:54:33 +0000",https://elcomercio.pe/arcio/rss/,86,596
Peru,"Dobles Perú vs. Portugal, con Buse y Varillas: ¿cuándo juegan EN VIVO por el Grupo Mundial I de Copa Davis 2025?","Todas las noticias en tu celular ¡Únete aquí a nuestro canal de WhatsApp!

Perú vs. Portugal EN VIVO: se enfrentan este sábado 13 de septiembre en el Club Lawn Tennis de la Exposición, en Lima, por el Día 2 de la serie correspondiente al Grupo Mundial I de la Copa Davis 2025. Ignacio Buse y Juan Pablo Varillas serán dupla en el dobles, a jugarse desde las 2:00 p.m. Los partidos serán transmitidos por TV Perú. Todos los detalles los encontrarás en la web de RPP.pe.

Llega el turno de los dobles en el segundo día de la serie entre Perú y Portugal. Tras los primeros encuentros de singles en Lima, las duplas saltan a la arcilla en el que será un encuentro clave. El conjunto rojiblanco gana 2-0 y con un punto sellará su triunfo.

En juego está el acceso a los qualifiers del próximo año en la Copa Davis y el capitán Lucho Horna apostó por contar con Juan Pablo Varillas, el más experimentado del equipo, junto a Ignacio Buse. A pesar de contar con Alexander Merino, ‘Nacho’ será el encargado de","En el comienzo del Día 2 de la serie Perú vs. Portugal, Juan Pablo Varillas e Ignacio Buse son los elegidos para el partido de dobles.",https://rpp.pe/tenis/copa-davis/dobles-peru-vs-portugal-en-vivo-a-que-hora-juegan-buse-y-varillas-y-donde-ver-dia-2-grupo-mundial-i-de-copa-davis-2025-via-tvperu-en-vivo-noticia-1654916,"Fri, 12 Sep 2025 19:45:30 -0500",https://rpp.pe/rss,750,4076
Peru,Kimberly García quedó en el décimo puesto en los 35 km de marcha del Mundial de Atletismo 2025,"Todas las noticias en tu celular ¡Únete aquí a nuestro canal de WhatsApp!

Entre las mejores, pero lejos del podio. Kimberly García ocupó el décimo puesto en los 35 kilómetros de marcha atlética femenina, prueba correspondiente al Campeonato Mundial de Atletismo 2025 que comenzó este viernes en Tokio.

La atleta peruana, bicampeona mundial en 2022 y ganadora de una medalla de plata en 2023, no alcanzó su mejor desempeño en el certamen y cruzó la meta luego de 2:50:37, lejos del principal registro que tenía en la temporada.

Kimberly García llegó más 11 minutos después que la española María Pérez (2:30:01), quien repitió la medalla de oro en esta prueba del Mundial. El podio lo completaron la italiana Antonella Palmisano (2:42:24) y la ecuatoriana Paula Torres (2:42:44).

La huancaína mantuvo el ritmo junto a las principales deportistas pasada la mitad del recorrido, pero el agotamiento y el calor de Tokio fueron factores que le llevaron a bajar el paso.

Mary Luz Andía no pudo completa","Kimberly García se metió al 'top 10' del Mundial de Atletismo 2025, pero no logró mejorar su mejor tiempo de la temporada en los 35 km de marcha atlética.",https://rpp.pe/multideportes/mas-deportes/kimberly-garcia-en-mundial-de-atletismo-2025-en-vivo-horario-y-donde-ver-marcha-35km-con-andia-y-coaquira-en-tokio-team-peru-noticia-1654760,"Fri, 12 Sep 2025 20:45:34 -0500",https://rpp.pe/rss,1350,7947
